prefecture,name,yomi,lastname,firstname,last_kana,first_kana,age,party,recommended,status,previous,bio,edu,n_cand,win,votes,vshare,magnitude
大阪,尾崎 全紀,おざき まさのり,尾崎,全紀,おざき,まさのり,48,諸派,NA,新,0,Ｎ国党員・出版編集者,京大院,12,0,43667,1.25,4
大阪,数森 圭吾,かずもり けいご,数森,圭吾,かずもり,けいご,39,諸派,NA,新,0,幸福実現党員〈元〉ＪＦＥ商事社員,早大,12,0,11203,0.32,4
大阪,辰巳 孝太郎,たつみ こうたろう,辰巳,孝太郎,たつみ,こうたろう,42,共産,NA,現,1,党中央委員・党参院国対副委員長〈元〉地域団体事務局員,米エマーソン大,12,0,381854,10.93,4
大阪,佐々木 一郎,ささき いちろう,佐々木,一郎,ささき,いちろう,68,諸派,NA,新,0,労働者党支部長〈元〉測量設計コンサルタント会社員・建設会社員,北大,12,0,7252,0.21,4
兵庫,原 博義,はら ひろよし,原,博義,はら,ひろよし,47,諸派,NA,新,0,Ｎ国党員,NA,6,0,54152,2.46,3
兵庫,高橋 光男,たかはし みつお,高橋,光男,たかはし,みつお,42,公明,自民,新,0,党国際局次長〈元〉在ブラジル日本大使館１等書記官,大阪外大中退,6,1,503790,22.91,3
兵庫,安田 真理,やすだ まり,安田,真理,やすだ,まり,41,立憲,社民,新,0,アナウンサー〈元〉石川テレビアナウンサー・ＮＨＫキャスター,法大院,6,0,434846,19.78,3
兵庫,加田 裕之,かだ ひろゆき,加田,裕之,かだ,ひろゆき,49,自民,NA,新,0,〈元〉県議・衆院議員秘書・神戸新聞マーケティングセンター社員,甲南大,6,1,466161,21.2,3
兵庫,清水 貴之,しみず たかゆき,清水,貴之,しみず,たかゆき,45,維新,NA,現,1,〈元〉党県代表・テレビリポーター・朝日放送アナウンサー,早大,6,1,573427,26.08,3
兵庫,金田 峰生,かねだ みねお,金田,峰生,かねだ,みねお,53,共産,NA,新,0,党県常任委員〈元〉県議・県保険医協会職員,日本福祉大,6,0,166183,7.56,3
奈良,田中 孝子,たなか たかこ,田中,孝子,たなか,たかこ,64,諸派,NA,新,0,幸福実現党員・幸福の科学職員〈元〉ハローワーク奈良職業相談員,早大,3,0,24660,4.52,1
奈良,堀井 巌,ほりい いわお,堀井,巌,ほりい,いわお,53,自民,公明,現,1,党外交副部会長〈元〉外務政務官・総務省室長・岡山県総務部長,東大,3,1,301201,55.26,1
奈良,西田 一美,にしだ かずみ,西田,一美,にしだ,かずみ,58,無所属,立憲 / 国民 / 社民,新,0,連合奈良会長〈元〉宇陀市職員・自治労役員,奈良県榛原高,3,0,219244,40.22,1
和歌山,藤井 幹雄,ふじい みきお,藤井,幹雄,ふじい,みきお,58,無所属,立憲 / 国民 / 社民,新,0,弁護士・９条ネットわかやま共同代表,東大,2,0,105081,26.23,1
和歌山,世耕 弘成,せこう ひろしげ,世耕,弘成,せこう,ひろしげ,56,自民,公明,現,4,経産相〈元〉官房副長官・首相補佐官・ＮＴＴ社員,早大,2,1,295608,73.77,1
鳥取・島根,舞立 昇治,まいたち しょうじ,舞立,昇治,まいたち,しょうじ,43,自民,公明,現,1,内閣府政務官〈元〉総務省職員・新潟県財政課長・下関市財政部長,東大,3,1,328394,62.26,1
鳥取・島根,中林 佳子,なかばやし よしこ,中林,佳子,なかばやし,よしこ,73,無所属,共産,新,0,〈元〉共産党中央委員・衆院議員・小学校教諭,島根大,3,0,167329,31.72,1
鳥取・島根,黒瀬 信明,くろせ のぶあき,黒瀬,信明,くろせ,のぶあき,34,諸派,NA,新,0,Ｎ国党員・営業コンサル会社員,朝日大,3,0,31770,6.02,1
岡山,石井 正弘,いしい まさひろ,石井,正弘,いしい,まさひろ,73,自民,公明,現,1,〈元〉知事・建設省大臣官房審議官・大臣官房文書課長,東大,3,1,415968,59.52,1
岡山,原田 謙介,はらだ けんすけ,原田,謙介,はらだ,けんすけ,33,立憲,国民 / 社民,新,0,党県副代表〈元〉選挙啓発ＮＰＯ代表・岡山大非常勤講師,東大,3,0,248990,35.63,1
岡山,越智 寛之,おち ひろゆき,越智,寛之,おち,ひろゆき,45,諸派,NA,新,0,ＩＴ技術会社長・Ｎ国党員〈元〉遊技機製造社員・システム会社員,摂南大,3,0,33872,4.85,1
広島,河井 案里,かわい あんり,河井,案里,かわい,あんり,45,自民,公明,新,0,〈元〉県議・広島文化短大非常勤講師・科学技術振興事業団職員,慶大院,7,1,295871,28.99,2
広島,泉 安政,いずみ やすまさ,泉,安政,いずみ,やすまさ,66,諸派,NA,新,0,労働の解放をめざす労働者党支部長・型枠大工〈元〉ＮＨＫ職員,米子高専,7,0,12327,1.21,2
広島,玉田 憲勲,たまだ のりたか,玉田,憲勲,たまだ,のりたか,61,無所属,NA,新,0,医師・医療法人理事長,佐賀医大,7,0,15253,1.49,2
広島,高見 篤己,たかみ あつみ,高見,篤己,たかみ,あつみ,67,共産,NA,新,0,党県常任委員〈元〉民青県副委員長・広島修道大生協職員,広島大,7,0,70886,6.94,2
広島,加陽 輝実,かよう てるみ,加陽,輝実,かよう,てるみ,69,諸派,NA,新,0,Ｎ国党員〈元〉日本棋院職員,拓殖大,7,0,26454,2.59,2
広島,森本 真治,もりもと しんじ,森本,真治,もりもと,しんじ,46,無所属,立憲 / 国民 / 社民,現,1,茶道講師〈元〉国民民主党県代表・広島市議・松下政経塾生,同志社大,7,1,329792,32.31,2
広島,溝手 顕正,みぞて けんせい,溝手,顕正,みぞて,けんせい,76,自民,公明,現,5,党税調副会長〈元〉党参院幹事長・防災担当相・旧三原市長,東大,7,0,270183,26.47,2
山口,林 芳正,はやし よしまさ,林,芳正,はやし,よしまさ,58,自民,公明,現,4,〈元〉文科相・農水相・経済財政相・三井物産社員,米ハーバード大院,4,1,374686,69.97,1
山口,竹本 秀之,たけもと ひでゆき,竹本,秀之,たけもと,ひでゆき,63,無所属,NA,新,0,〈元〉朝日新聞社員,阪大,4,0,18177,3.39,1
山口,河井 美和子,かわい みわこ,河井,美和子,かわい,みわこ,56,諸派,NA,新,0,幸福実現党県代表〈元〉明治安田生命保険社員,明星大,4,0,24131,4.51,1
山口,大内 一也,おおうち かずや,大内,一也,おおうち,かずや,45,国民,立憲 / 共産 / 社民,新,0,党県副代表〈元〉人材育成会社長・ＮＴＴ西日本社員,山口大,4,0,118491,22.13,1
徳島・高知,石川 新一郎,いしかわ しんいちろう,石川,新一郎,いしかわ,しんいちろう,65,諸派,NA,新,0,Ｎ国党員・企業再生コンサルタント〈元〉富士見市議,産業能率短大,4,0,33764,6.69,1
徳島・高知,高野 光二郎,たかの こうじろう,高野,光二郎,たかの,こうじろう,44,自民,公明,現,1,農水政務官・高知県舗装協会顧問〈元〉高知県議・衆院議員秘書,東京農大,4,1,253883,50.33,1
徳島・高知,松本 顕治,まつもと けんじ,松本,顕治,まつもと,けんじ,35,無所属,NA,新,0,共産党高知県常任委員〈元〉党地区宣伝部長・保険代理店社員,高知大,4,0,201820,40.01,1
徳島・高知,野村 秀邦,のむら ひでくに,野村,秀邦,のむら,ひでくに,69,無所属,NA,新,0,作家〈元〉医療機器販売会社長・日本ハム社員・大塚食品社員,日大,4,0,15014,2.98,1
香川,尾田 美和子,おだ みわこ,尾田,美和子,おだ,みわこ,46,無所属,立憲 / 国民 / 社民,新,0,伝統工芸品企画業〈元〉大学職員・旅行会社員・保険会社員,香川大院,3,0,151107,41.6,1
香川,三宅 伸吾,みやけ しんご,三宅,伸吾,みやけ,しんご,57,自民,公明,現,1,参院外交防衛委員会理事〈元〉日本経済新聞編集委員,東大院,3,1,196126,54,1
香川,田中 邦明,たなか くにあき,田中,邦明,たなか,くにあき,46,諸派,NA,新,0,Ｎ国党員,NA,3,0,15970,4.4,1
愛媛,らくさぶろう ,らくさぶろう ,らくさぶろう,,らくさぶろう,,54,自民,公明,新,0,ローカルタレント〈元〉芸能会社長,愛媛大中退,3,0,248616,41.51,1
愛媛,永江 孝子,ながえ たかこ,永江,孝子,ながえ,たかこ,59,無所属,NA,新,0,〈元〉衆院議員・南海放送アナウンサー,神戸大,3,1,335425,56,1
愛媛,椋本 薫,むくもと かおる,椋本,薫,むくもと,かおる,45,諸派,NA,新,0,Ｎ国党員・化学品卸業,関学大,3,0,14943,2.49,1
福岡,春田 久美子,はるた くみこ,春田,久美子,はるた,くみこ,52,国民,NA,新,0,弁護士〈元〉九大客員教授・裁判官・住宅金融公庫職員,九大,9,0,143955,8.19,3
福岡,川口 尚宏,かわぐち なおひろ,川口,尚宏,かわぐち,なおひろ,50,諸派,NA,新,0,Ｎ国党員〈元〉派遣社員,埼玉県大井高,9,0,46362,2.64,3
福岡,河野 祥子,かわの しょうこ,河野,祥子,かわの,しょうこ,39,共産,NA,新,0,党県委員〈元〉直方市議・党県青年学生部員,九大専門職院,9,0,171436,9.75,3
福岡,浜武 振一,はまたけ しんいち,浜武,振一,はまたけ,しんいち,53,諸派,NA,新,0,オリーブの木副代表・学習塾経営〈元〉筑紫野市議,久留米大,9,0,14586,0.83,3
福岡,下野 六太,しもの ろくた,下野,六太,しもの,ろくた,55,公明,自民,新,0,党教育改革推進本部事務局次長〈元〉中学校教諭,福岡教大院,9,1,401495,22.84,3
福岡,本藤 昭子,ほんどう あきこ,本藤,昭子,ほんどう,あきこ,77,諸派,NA,新,0,内装会社役員・安楽死党九州地区代表〈元〉農業,NA,9,0,15511,0.88,3
福岡,野田 国義,のだ くによし,野田,国義,のだ,くによし,61,立憲,社民,現,1,党県代表代行〈元〉衆院議員・八女市長・衆院議員秘書,日大,9,1,365634,20.8,3
福岡,江夏 正敏,えなつ まさとし,江夏,正敏,えなつ,まさとし,51,諸派,NA,新,0,幸福実現党政調会長・ＨＳ政経塾顧問〈元〉不動産会社員,阪大中退,9,0,15380,0.88,3
福岡,松山 政司,まつやま まさじ,松山,政司,まつやま,まさじ,60,自民,NA,現,3,〈元〉１億総活躍相・党参院国対委員長・日本青年会議所会頭,明大,9,1,583351,33.19,3
佐賀,山下 雄平,やました ゆうへい,山下,雄平,やました,ゆうへい,39,自民,公明,現,1,参院予算委理事〈元〉内閣府政務官・日本経済新聞記者,慶大,2,1,186209,61.65,1
佐賀,犬塚 直史,いぬづか ただし,犬塚,直史,いぬづか,ただし,64,国民,立憲 / 社民,元,1,観光コンサルタント会社長・党県副代表,米ダラス大院,2,0,115843,38.35,1
長崎,古賀 友一郎,こが ゆういちろう,古賀,友一郎,こが,ゆういちろう,51,自民,公明,現,1,総務政務官〈元〉長崎市副市長・総務省高齢対策室長,東大,3,1,258109,51.48,1
長崎,白川 鮎美,しらかわ あゆみ,白川,鮎美,しらかわ,あゆみ,39,国民,立憲 / 社民,新,0,人材育成会社長・党県副代表〈元〉がん啓発ＮＰＯ理事,佐世保高専,3,0,224022,44.68,1
長崎,神谷 幸太郎,かみや こうたろう,神谷,幸太郎,かみや,こうたろう,43,諸派,NA,新,0,Ｎ国党員〈元〉タクシー運転手,愛知県碧南工高,3,0,19240,3.84,1
熊本,馬場 成志,ばば せいし,馬場,成志,ばば,せいし,54,自民,公明,現,1,党副幹事長〈元〉厚労政務官・県議長・熊本市議,熊本工高,3,1,379223,56.4,1
熊本,阿部 広美,あべ ひろみ,阿部,広美,あべ,ひろみ,52,無所属,共産 / 社民,新,0,弁護士・日本弁護士連合会貧困問題対策本部委員〈元〉太陽生命社員,九大,3,0,262664,39.06,1
熊本,最勝寺 辰也,さいしょうじ しんや,最勝寺,辰也,さいしょうじ,しんや,38,諸派,NA,新,0,建築内装業・Ｎ国党員〈元〉ネットショップ店長,読売九州理工専門学校,3,0,30539,4.54,1
大分,礒崎 陽輔,いそざき ようすけ,礒崎,陽輔,いそざき,ようすけ,61,自民,公明,現,2,〈元〉農水副大臣・首相補佐官・総務省大臣官房参事官,東大,3,0,219498,46.06,1
大分,安達 澄,あだち きよし,安達,澄,あだち,きよし,49,無所属,立憲 / 国民 / 社民,新,0,観光会社長〈元〉朝日新聞社員・新日鉄社員,上智大,3,1,236153,49.55,1
大分,牧原 慶一郎,まきはら けいいちろう,牧原,慶一郎,まきはら,けいいちろう,41,諸派,NA,新,0,Ｎ国党員〈元〉すかいらーく社員,大阪学院大,3,0,20909,4.39,1
宮崎,長峯 誠,ながみね まこと,長峯,誠,ながみね,まこと,49,自民,公明,現,1,〈元〉財務政務官・都城市長・県議・参院議員秘書,早大,3,1,241492,64.35,1
宮崎,河野 一郎,こうの いちろう,河野,一郎,こうの,いちろう,59,諸派,NA,新,0,幸福実現党員・幸福の科学宮崎巡回支部長〈元〉養護学校教諭,宮崎大,3,0,23002,6.13,1
宮崎,園生 裕造,そのう ゆうぞう,園生,裕造,そのう,ゆうぞう,41,立憲,国民 / 社民,新,0,税理士〈元〉監査法人職員,同志社大,3,0,110782,29.52,1
鹿児島,前田 終止,まえだ しゅうじ,前田,終止,まえだ,しゅうじ,71,無所属,NA,新,0,〈元〉霧島市長・牧園町長・県議・衆院議員秘書,亜細亜大,3,0,112063,18.25,1
鹿児島,合原 千尋,ごうはら ちひろ,合原,千尋,ごうはら,ちひろ,39,無所属,国民,新,0,行政書士・国民民主党県常任幹事〈元〉学習塾講師,九大,3,0,211301,34.4,1
鹿児島,尾辻 秀久,おつじ ひでひさ,尾辻,秀久,おつじ,ひでひさ,78,自民,公明,現,5,日本遺族会名誉顧問〈元〉参院副議長・厚労相・財務副大臣,東大中退,3,1,290844,47.35,1
沖縄,安里 繁信,あさと しげのぶ,安里,繁信,あさと,しげのぶ,49,自民,公明,新,0,〈元〉物流広告企業会長・日本青年会議所会頭・県教育委員,早大専門職院,4,0,234928,42.12,1
沖縄,高良 鉄美,たから てつみ,高良,鉄美,たから,てつみ,65,無所属,NA,新,0,琉球大名誉教授〈元〉琉球大法科大学院長・琉球大教授,九大院,4,1,298831,53.57,1
沖縄,磯山 秀夫,いそやま ひでお,磯山,秀夫,いそやま,ひでお,72,諸派,NA,新,0,Ｎ国党員・特別養護老人ホーム非常勤職員〈元〉丸紅社員,早大,4,0,11662,2.09,1
沖縄,玉利 朝輝,たまり ともてる,玉利,朝輝,たまり,ともてる,60,無所属,NA,新,0,辺野古商工社交業組合理事・食品販売業・飲食業,大阪商大,4,0,12382,2.22,1
